ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,10uF,c_0805,0.11,Digikey,311-1355-1-ND,,,,,
C2,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C3,1uF,~,,,,,,,,
C4,47uF,~,,,,,,,,
C5,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C6,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C7,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C8,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C9,10uF,c_0805,0.11,Digikey,311-1355-1-ND,,,,,
C10,10uF,c_1206,0.536,Digikey,478-1821-1-ND,,,,,
C11,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C12,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C13,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C14,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C15,1uF,c_0805,0.059,Digikey,311-1358-1-ND,,,,,
C16,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C17,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C18,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C19,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C20,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C21,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C22,2.2nF,c_0805,0.086,Digikey,311-1463-1-ND,,,,,
C23,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C24,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C25,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C26,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C27,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C28,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C29,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C30,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C31,1uF,c_0805,0.059,Digikey,311-1358-1-ND,,,,,
C32,10nF,c_0805,0.11,Digikey,311-1355-1-ND,,,,,
C33,1uF,c_0805,0.059,Digikey,311-1358-1-ND,,,,,
C34,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C35,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C36,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
C37,0.1uF,c_0805,0.01152,Digikey,1276-1007-1-ND,,,,,
